STATE/UT,YEAR,DISTRICT,CRIME HEAD,VICTIM GENDER,CASES REPORTED,MONTH
Maharashtra,2021,Mumbai,Rape,Female,45,7
Delhi,2021,New Delhi,Robbery,Male,22,8
West Bengal,2022,Kolkata,Assault,Female,30,4
Karnataka,2020,Bengaluru,Murder,Male,18,5
Tamil Nadu,2021,Chennai,Theft,Female,55,12
Uttar Pradesh,2022,Lucknow,Kidnapping,Female,28,3
Maharashtra,2020,Pune,Burglary,Male,15,9
Delhi,2022,South Delhi,Harassment,Female,33,6
Gujarat,2021,Ahmedabad,Dowry Death,Female,12,11
Rajasthan,2022,Jaipur,Theft,Male,24,2
Madhya Pradesh,2021,Indore,Assault,Female,20,8
Odisha,2020,Bhubaneswar,Rape,Female,40,1
Kerala,2022,Thiruvananthapuram,Robbery,Male,14,7
Punjab,2021,Amritsar,Assault,Female,18,9
Haryana,2022,Gurugram,Kidnapping,Female,26,10
Bihar,2021,Patna,Theft,Male,35,12
Jharkhand,2020,Ranchi,Magisterial, Female,10,3
Telangana,2022,Hyderabad,Burglary,Male,19,4
Assam,2021,Guwahati,Robbery,Male,21,5
Chhattisgarh,2022,Raipur,Assault,Female,16,6
Goa,2021,Panaji,Theft,Female,9,8
Punjab,2020,Ludhiana,Rape,Female,29,11
West Bengal,2021,Howrah,Harassment,Female,13,10
Karnataka,2022,Mysore,Dowry, Female,17,2
